t,Q
30/10/2023 08:23:00,113.482
30/10/2023 08:24:00,113.574
30/10/2023 08:25:00,113.802
30/10/2023 08:26:00,113.42
30/10/2023 08:27:00,113.296
30/10/2023 08:28:00,113.737
30/10/2023 08:29:00,113.196
30/10/2023 08:30:00,112.59
30/10/2023 08:31:00,113.807
30/10/2023 08:32:00,113.281
30/10/2023 08:33:00,112.976
30/10/2023 08:34:00,113.336
30/10/2023 08:35:00,113.591
30/10/2023 08:36:00,113.05
30/10/2023 08:37:00,112.578
30/10/2023 08:38:00,113.061
30/10/2023 08:39:00,113.508
30/10/2023 08:40:00,113.754
30/10/2023 08:41:00,112.864
30/10/2023 08:42:00,113.421
30/10/2023 08:43:00,113.139
30/10/2023 08:44:00,114.086
30/10/2023 08:45:00,112.514
30/10/2023 08:46:00,112.464
30/10/2023 08:47:00,112.982
30/10/2023 08:48:00,112.5
30/10/2023 08:49:00,113.154
30/10/2023 08:50:00,112.691
30/10/2023 08:51:00,113.028
30/10/2023 08:52:00,113.351
30/10/2023 08:53:00,112.787
30/10/2023 08:54:00,112.467
30/10/2023 08:55:00,113.145
30/10/2023 08:56:00,113.326
30/10/2023 08:57:00,113.353
30/10/2023 08:58:00,112.742
30/10/2023 08:59:00,112.978
30/10/2023 09:00:00,113.126
30/10/2023 09:01:00,113.69
30/10/2023 09:02:00,113.685
30/10/2023 09:03:00,112.698
30/10/2023 09:04:00,112.46
30/10/2023 09:05:00,113.158
30/10/2023 09:06:00,112.454
30/10/2023 09:07:00,113.375
30/10/2023 09:08:00,111.944
30/10/2023 09:09:00,112.663
30/10/2023 09:10:00,111.984
30/10/2023 09:11:00,113.204
30/10/2023 09:12:00,113.325
30/10/2023 09:13:00,112.104
30/10/2023 09:14:00,112.801
30/10/2023 09:15:00,112.442
30/10/2023 09:16:00,112.838
30/10/2023 09:17:00,113.751
30/10/2023 09:18:00,112.72
30/10/2023 09:19:00,113.41
30/10/2023 09:20:00,113.094
30/10/2023 09:21:00,113.466
30/10/2023 09:22:00,112.428
30/10/2023 09:23:00,112.269
30/10/2023 09:24:00,113.433
30/10/2023 09:25:00,113.044
30/10/2023 09:26:00,112.539
30/10/2023 09:27:00,111.634
30/10/2023 09:28:00,113.319
30/10/2023 09:29:00,112.335
30/10/2023 09:30:00,111.808
30/10/2023 09:31:00,112.195
30/10/2023 09:32:00,111.475
30/10/2023 09:33:00,113.364
30/10/2023 09:34:00,112.661
30/10/2023 09:35:00,112.381
30/10/2023 09:36:00,112.566
30/10/2023 09:37:00,112.974
30/10/2023 09:38:00,113.442
30/10/2023 09:39:00,112.599
30/10/2023 09:40:00,112.456
30/10/2023 09:41:00,112.293
30/10/2023 09:42:00,113.055
30/10/2023 09:43:00,111.817
30/10/2023 09:44:00,112.243
30/10/2023 09:45:00,113.464
30/10/2023 09:46:00,112.38
30/10/2023 09:47:00,112.251
30/10/2023 09:48:00,112.671
30/10/2023 09:49:00,112.923
30/10/2023 09:50:00,112.542
30/10/2023 09:51:00,112.628
30/10/2023 09:52:00,113.231
30/10/2023 09:53:00,113.181
30/10/2023 09:54:00,113.166
30/10/2023 09:55:00,112.67
30/10/2023 09:56:00,111.874
30/10/2023 09:57:00,112.647
30/10/2023 09:58:00,112.369
30/10/2023 09:59:00,112.527
30/10/2023 10:00:00,112.441
30/10/2023 10:01:00,112.9
30/10/2023 10:02:00,112.604
30/10/2023 10:03:00,111.809
30/10/2023 10:04:00,111.951
30/10/2023 10:05:00,112.483
30/10/2023 10:06:00,112.877
30/10/2023 10:07:00,113.2
30/10/2023 10:08:00,112.78
30/10/2023 10:09:00,113.196
30/10/2023 10:10:00,112.577
30/10/2023 10:11:00,113.334
30/10/2023 10:12:00,113.239
30/10/2023 10:13:00,113.324
30/10/2023 10:14:00,112.541
30/10/2023 10:15:00,112.666
30/10/2023 10:16:00,112.401
30/10/2023 10:17:00,112.785
30/10/2023 10:18:00,112.424
30/10/2023 10:19:00,111.871
30/10/2023 10:20:00,113.107
30/10/2023 10:21:00,112.496
30/10/2023 10:22:00,112.821
30/10/2023 10:23:00,112.562
30/10/2023 10:24:00,113.094
30/10/2023 10:25:00,113.318
30/10/2023 10:26:00,113.456
30/10/2023 10:27:00,113.482
30/10/2023 10:28:00,113.131
30/10/2023 10:29:00,112.585
30/10/2023 10:30:00,112.581
30/10/2023 10:31:00,112.331
30/10/2023 10:32:00,113.105
30/10/2023 10:33:00,112.291
30/10/2023 10:34:00,111.716
30/10/2023 10:35:00,113.015
30/10/2023 10:36:00,112.47
30/10/2023 10:37:00,113.616
30/10/2023 10:38:00,112.55
30/10/2023 10:39:00,112.253
30/10/2023 10:40:00,112.945
30/10/2023 10:41:00,113.524
30/10/2023 10:42:00,113.221
30/10/2023 10:43:00,113.098
30/10/2023 10:44:00,113.568
30/10/2023 10:45:00,112.773
30/10/2023 10:46:00,112.881
30/10/2023 10:47:00,113.117
30/10/2023 10:48:00,113.344
30/10/2023 10:49:00,113.058
30/10/2023 10:50:00,113.618
30/10/2023 10:51:00,113.386
30/10/2023 10:52:00,112.735
